Year,Anzahl,Value
2019,installierter barrierefreier Spielgeräte,0
2020,installierter barrierefreier Spielgeräte,0
2021,installierter barrierefreier Spielgeräte,0
2022,installierter barrierefreier Spielgeräte,1
2023,installierter barrierefreier Spielgeräte,2
2019,Anteil der Spielplätze mit  barrierefreiem Spielgerät,0
2020,Anteil der Spielplätze mit  barrierefreiem Spielgerät,0
2021,Anteil der Spielplätze mit  barrierefreiem Spielgerät,0
2022,Anteil der Spielplätze mit  barrierefreiem Spielgerät,1
2023,Anteil der Spielplätze mit  barrierefreiem Spielgerät,2
